b'Date,Open,High,Low,Close,Volume,Adj Close
2015-03-06,574.882583,576.682625,566.762536,567.687558,1659100,567.687558
2015-03-05,575.022616,577.912621,573.412609,575.332609,1389600,575.332609
2015-03-04,571.872619,577.112637,568.012546,573.372583,1876800,573.372583
2015-03-03,570.452587,575.392588,566.522559,573.64261,1704700,573.64261
2015-03-02,560.532559,572.152562,558.752531,571.342601,2129600,571.342601
2015-02-27,554.242482,564.712541,552.902503,558.402511,2410100,558.402511
2015-02-26,543.212476,556.142529,541.502464,555.482516,2311500,555.482516
2015-02-25,535.90245,546.222501,535.447406,543.872489,1825900,543.872489
2015-02-24,530.002419,536.792403,528.252381,536.092424,1005000,536.092424
2015-02-23,536.052398,536.441404,529.412422,531.912381,1457800,531.912381
2015-02-20,543.132484,543.75247,535.802444,538.952441,1444300,538.952441
2015-02-19,538.042413,543.11247,538.012424,542.872432,989100,542.872432
2015-02-18,541.402458,545.492471,537.512456,539.702422,1453000,539.702422
2015-02-17,546.83245,550.00246,541.092465,542.842443,1616800,542.842443
2015-02-13,543.352447,549.912491,543.132484,549.012501,1900300,549.012501
2015-02-12,537.252405,544.822482,534.675391,542.932472,1620200,542.932472
2015-02-11,535.302416,538.452412,533.380397,535.972405,1377700,535.972405
2015-02-10,529.302379,537.702431,526.922378,536.942412,1749800,536.942412
2015-02-09,528.002366,532.002411,526.022388,527.832406,1267700,527.832406
2015-02-06,527.64237,537.202402,526.412373,531.002415,1763500,531.002415
2015-02-05,523.792395,528.502395,522.092359,527.582391,1849700,527.582391
2015-02-04,529.2424,532.67442,521.272361,522.762349,1663600,522.762349
2015-02-03,528.002366,533.40243,523.262377,529.2424,2038600,529.2424
2015-02-02,531.732383,533.002407,518.552377,528.482381,2849800,528.482381
2015-01-30,515.862322,539.872444,515.522339,534.522445,5606300,534.522445
2015-01-29,511.002313,511.092313,501.202274,510.6623,4186300,510.6623
2015-01-28,522.782362,522.992349,510.002318,510.002318,1683800,510.002318
2015-01-27,529.972369,530.702398,518.19232,518.63237,1904000,518.63237
